City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,jamestown,42.097,-79.2353,67.59,44,0,10.36,US,1698198378
147,center,31.5107,-96.4247,79.25,67,40,11.5,US,1698198432
148,hawick,55.4227,-2.7867,44.8,95,91,4.65,GB,1698198432
149,idri,27.5,13.2667,75.42,23,18,5.91,LY,1698198433
150,enewetak,11.3474,162.3373,84.51,75,86,17.34,MH,1698198433
151,new norfolk,-42.7826,147.0587,49.5,84,100,9.19,AU,1698198433
152,kuala terengganu,5.3302,103.1408,82.35,78,20,5.01,MY,1698198434
153,mazabuka,-15.856,27.748,75.38,45,25,3.85,ZM,1698198434
154,tsiombe,-25.3,45.4833,70.47,91,0,5.08,MG,1698198434
155,sergeyevka,53.88,67.4158,42.28,85,100,21.88,KZ,1698198434
156,fortuna,40.5982,-124.1573,54.93,82,0,4.61,US,1698198434
157,lahij,13.1667,44.5833,79.97,58,61,5.59,YE,1698198434
158,punta arenas,-53.15,-70.9167,41.11,87,75,21.85,CL,1698198158
159,suva,-18.1416,178.4415,80.08,65,40,14.97,FJ,1698198435
160,guerrero negro,27.9769,-114.0611,66.67,77,0,11.36,MX,1698198435
161,tanjung pandan,-2.75,107.65,85.84,61,83,6.38,ID,1698198435
162,peterhead,57.5058,-1.7981,48.6,88,100,25.66,GB,1698198230
163,ta`u,-14.2336,-169.5144,79.36,75,44,20.83,AS,1698198435
164,san pedro,14.35,121.0167,88.32,76,75,7.0,PH,1698198435
165,susice,49.2311,13.5202,56.12,81,100,4.7,CZ,1698198436
166,arraial do cabo,-22.9661,-42.0278,72.32,91,34,15.35,BR,1698198437
167,labrador city,52.9463,-66.9114,35.51,87,100,9.22,CA,1698198303
168,maun,-19.9833,23.4167,78.76,15,0,9.22,BW,1698198438
169,port mathurin,-19.6833,63.4167,73.49,94,75,5.75,MU,1698198256
170,lerwick,60.1545,-1.1494,48.2,87,100,15.05,GB,1698198438
171,puquio,-14.7,-74.1333,57.09,69,99,2.57,PE,1698198438
172,nova sintra,14.8667,-24.7167,75.85,74,15,10.07,CV,1698198438
173,ciudad lazaro cardenas,17.9583,-102.2,78.64,82,100,5.77,MX,1698198438
174,brisas barra de suchiate,14.55,-92.2167,80.71,77,100,4.12,MX,1698198438
175,northam,51.0333,-4.2167,53.65,96,100,17.16,GB,1698198439
176,broken hill,-31.95,141.4333,61.32,29,97,18.61,AU,1698198439
177,naples park,26.2617,-81.8093,75.97,70,21,1.01,US,1698198439
178,vila velha,-20.3297,-40.2925,76.95,86,0,17.27,BR,1698198439
179,konosha,60.9736,40.257,25.18,96,69,5.26,RU,1698198439
180,fale old settlement,-9.3852,-171.2468,83.8,74,13,13.89,TK,1698198439
181,hermanus,-34.4187,19.2345,56.43,76,47,6.13,ZA,1698198439
182,selfoss,63.9331,-20.9971,37.04,73,100,9.22,IS,1698198440
183,happy valley-goose bay,53.3168,-60.3315,41.31,60,75,9.22,CA,1698198440
184,tulun,54.5611,100.5792,31.37,50,96,9.51,RU,1698198440
185,tidjikja,18.5564,-11.4271,83.91,30,13,6.29,MR,1698198440
186,torghay,49.6339,63.4981,43.75,65,100,17.92,KZ,1698198279
187,grand gaube,-20.0064,57.6608,75.6,77,10,10.74,MU,1698198440
188,ghanzi,-21.5667,21.7833,67.84,17,0,9.73,BW,1698198440
189,val-d'or,48.1002,-77.7828,50.09,81,100,9.22,CA,1698198179
190,okha,53.5739,142.9478,41.95,55,6,14.38,RU,1698198441
191,carinhanha,-14.3047,-43.765,84.43,28,52,2.53,BR,1698198441
192,gondal,21.9667,70.8,78.8,48,3,4.45,IN,1698198442
193,constitucion,-35.3333,-72.4167,52.29,88,0,10.83,CL,1698198357
194,antsiranana,-12.2787,49.2917,74.05,93,85,9.13,MG,1698198362
195,susanville,40.4163,-120.653,62.44,35,0,6.91,US,1698198442
196,meadow lake,34.8014,-106.5436,59.11,72,100,6.29,US,1698198442
197,kasongo-lunda,-6.4667,16.8167,68.14,99,83,1.01,CD,1698198442
198,hami,42.8,93.45,52.88,42,8,8.84,CN,1698198442
